id,timestamp,value,sensor_id
21031,2024-08-27 01:34:36.551031,43.0,4
21034,2024-08-27 01:35:40.267165,43.0,4
21037,2024-08-27 01:36:43.976456,43.0,4
21040,2024-08-27 01:37:47.697239,44.0,4
21043,2024-08-27 01:38:51.464186,43.0,4
21046,2024-08-27 01:39:55.171923,43.0,4
21049,2024-08-27 01:40:58.915750,43.0,4
21052,2024-08-27 01:42:02.789029,43.0,4
21055,2024-08-27 01:43:06.567786,43.0,4
21060,2024-08-27 01:45:13.899323,43.0,4
21063,2024-08-27 01:46:17.796991,43.0,4
21066,2024-08-27 01:47:21.530181,43.0,4
21069,2024-08-27 01:48:25.266950,43.0,4
21072,2024-08-27 01:49:28.992121,43.0,4
21075,2024-08-27 01:50:32.686954,43.0,4
21078,2024-08-27 01:51:36.423870,44.0,4
21081,2024-08-27 01:52:40.091765,43.0,4
21084,2024-08-27 01:53:43.841706,43.0,4
21087,2024-08-27 01:54:47.582635,43.0,4
21090,2024-08-27 01:55:51.282050,43.0,4
21093,2024-08-27 01:56:55.011164,43.0,4
21096,2024-08-27 01:57:58.741132,44.0,4
21099,2024-08-27 01:59:02.609051,43.0,4
21102,2024-08-27 02:00:06.381356,43.0,4
21105,2024-08-27 02:01:10.153848,43.0,4
21108,2024-08-27 02:02:14.025562,44.0,4
21111,2024-08-27 02:03:17.804162,43.0,4
21114,2024-08-27 02:04:21.660803,43.0,4
21117,2024-08-27 02:05:25.397539,43.0,4
21120,2024-08-27 02:06:29.156256,43.0,4
21123,2024-08-27 02:07:33.015457,43.0,4
21126,2024-08-27 02:08:36.826006,43.0,4
21129,2024-08-27 02:09:40.626585,43.0,4
21132,2024-08-27 02:10:44.402515,43.0,4
21135,2024-08-27 02:11:48.133392,43.0,4
21138,2024-08-27 02:12:51.799159,43.0,4
21141,2024-08-27 02:13:55.561590,43.0,4
21144,2024-08-27 02:14:59.289887,43.0,4
21147,2024-08-27 02:16:03.410292,44.0,4
21150,2024-08-27 02:17:07.115400,43.0,4
21153,2024-08-27 02:18:10.842808,45.0,4
21156,2024-08-27 02:19:14.621254,44.0,4
21159,2024-08-27 02:20:18.434470,43.0,4
21162,2024-08-27 02:21:22.268161,43.0,4
21165,2024-08-27 02:22:25.977570,45.0,4
21168,2024-08-27 02:23:29.711818,44.0,4
21171,2024-08-27 02:24:33.585462,43.0,4
21174,2024-08-27 02:25:37.484639,43.0,4
21177,2024-08-27 02:26:41.311168,43.0,4
21180,2024-08-27 02:27:45.037727,44.0,4
21183,2024-08-27 02:28:48.805083,43.0,4
21186,2024-08-27 02:29:52.532372,44.0,4
21189,2024-08-27 02:30:56.289674,45.0,4
21192,2024-08-27 02:32:00.124440,45.0,4
21195,2024-08-27 02:33:03.956092,44.0,4
21200,2024-08-27 02:35:11.178735,44.0,4
21203,2024-08-27 02:36:14.930456,43.0,4
21206,2024-08-27 02:37:18.649790,44.0,4
21209,2024-08-27 02:38:22.388167,44.0,4
21212,2024-08-27 02:39:26.156534,44.0,4
21215,2024-08-27 02:40:29.933126,44.0,4
21218,2024-08-27 02:41:33.660194,43.0,4
21221,2024-08-27 02:42:37.427651,45.0,4
21224,2024-08-27 02:43:41.217498,44.0,4
21227,2024-08-27 02:44:45.002652,43.0,4
